date,resp_admissions,mu_expected,high_pm25_day,pm25_observed,pm25_ugm3
2017-10-15,20,16.898546926396623,False,True,8.80326
2017-10-16,14,18.830535305829105,False,True,6.93701
2017-10-17,21,19.26235712983772,False,True,8.02597
2017-10-18,24,19.127918301001102,False,True,4.44361
2017-10-19,14,18.99212681635942,False,True,5.19389
2017-10-20,17,19.616792512548926,False,True,5.60972
2017-10-21,17,17.570551657840987,False,True,6.06764
2017-10-22,19,17.235989551315726,False,True,6.06757
2017-10-23,16,19.203435489310976,False,True,3.6116
2017-10-24,19,19.640526649843068,False,True,4.58403
2017-10-25,15,19.500102921434255,False,True,3.65292
2017-10-26,21,19.35826324117239,False,True,6.74646
2017-10-27,21,19.991368006632225,False,True,2.90417
2017-10-28,15,17.902752306285116,False,True,2.14549
2017-10-29,20,17.558552775778935,False,True,4.74
2017-10-30,13,19.559049571737646,False,True,6.15847
2017-10-31,17,20.00030103116365,False,True,5.51104
2017-11-01,17,19.85332227553134,False,True,4.18785
2017-11-02,20,19.70488465983445,False,True,4.8834
2017-11-03,29,20.345089322045414,False,True,6.61736
2017-11-04,19,18.21565817890833,False,True,5.58146
2017-11-05,11,17.861593009310415,False,True,5.79021
2017-11-06,18,19.89225820276305,False,True,6.09264
2017-11-07,25,20.336501081849338,False,True,4.76667
2017-11-08,17,20.182491595337105,False,True,7.23208
2017-11-09,24,20.027001355617255,False,True,5.51458
2017-11-10,24,20.672864621479494,False,True,4.50924
2017-11-11,22,18.504765064965056,False,True,4.16111
2017-11-12,16,18.140748149548,False,True,3.08493
2017-11-13,26,20.198265139075357,False,True,3.64597
2017-11-14,18,20.6442876313315,False,True,3.97146
2017-11-15,18,20.482873051247893,False,True,5.715
2017-11-16,24,20.319977162887984,False,True,3.99313
2017-11-17,27,20.969976467114435,False,True,4.8459
2017-11-18,13,18.765912218260507,False,True,4.10736
2017-11-19,22,18.39200084572867,False,True,2.12986
2017-11-20,24,20.472666808026357,False,True,1.48701
2017-11-21,21,20.919231720582722,False,True,4.43965
2017-11-22,18,20.750144476190147,False,True,4.58076
2017-11-23,28,20.579596720542607,False,True,5.99111
2017-11-24,20,21.232150257106618,False,True,6.06771
2017-11-25,15,18.995342721345736,False,True,9.29132
2017-11-26,16,18.611736786171008,False,True,4.59104
2017-11-27,29,20.711516202915327,False,True,5.29028
2017-11-28,23,21.157378870027365,False,True,5.30535
2017-11-29,25,20.980462088181593,False,True,4.48375
2017-11-30,27,20.80212664892825,False,True,7.21313
2017-12-01,19,21.455616266771735,False,True,5.4225
2017-12-02,15,19.189758017166422,False,True,4.48167
2017-12-03,18,18.796797164068042,False,True,5.73208
2017-12-04,14,20.911380182818327,False,True,5.31153
2017-12-05,31,21.355306492625107,False,True,5.77035
2017-12-06,21,21.17051630105969,False,True,6.75194
2017-12-07,33,20.98436976240674,False,True,9.10938
2017-12-08,22,21.637164394007048,False,True,5.98875
2017-12-09,16,19.346365816642468,False,True,4.72583
2017-12-10,20,18.944524559994658,False,True,5.785
2017-12-11,11,21.069389345129515,False,True,5.16181
2017-12-12,29,21.510173618581117,False,True,5.88438
2017-12-13,16,21.317579813024963,False,True,5.16813
2017-12-14,23,21.123711530341897,False,False,
2017-12-15,18,21.77419081392455,False,False,
2017-12-16,18,19.46292068638397,False,False,
2017-12-17,21,19.05280157467964,False,False,
2017-12-18,14,21.183279746332673,False,False,
2017-12-19,19,21.619762209269457,False,False,
2017-12-20,24,21.41954727427651,False,False,
2017-12-21,21,21.218158111354683,False,False,
2017-12-22,24,21.864735864639236,False,False,
2017-12-23,22,19.537756726582852,False,False,
2017-12-24,28,19.120081650418708,False,False,
2017-12-25,19,21.251425864397596,False,False,
2017-12-26,18,21.682509459585035,False,False,
2017-12-27,26,21.474965956798474,False,False,
2017-12-28,22,21.266365407562933,False,False,
2017-12-29,29,21.90751261298414,False,False,
2017-12-30,17,19.56981186352835,False,False,
2017-12-31,25,19.145411632495417,False,False,
2018-01-01,23,21.272654268097565,False,False,
2018-01-02,23,21.69707155164356,False,False,
2018-01-03,14,21.482360127692015,False,False,
2018-01-04,22,21.266729070761343,False,False,
2018-01-05,24,21.90072154010585,False,False,
2018-01-06,22,19.55734789351748,False,False,
2018-01-07,17,19.126963580773733,False,False,
2018-01-08,23,21.245422979848705,False,False,
2018-01-09,24,21.662466831202348,False,False,
2018-01-10,14,21.441343434979995,False,False,
2018-01-11,18,21.219446590008825,False,False,
2018-01-12,29,21.84516343964233,False,False,
2018-01-13,24,19.501613480235324,False,False,
2018-01-14,20,19.066480469665454,False,False,
2018-01-15,16,21.171617318648018,False,False,
2018-01-16,18,21.58047357767194,False,False,
2018-01-17,23,21.353532870271422,False,False,
2018-01-18,29,21.125976038242477,False,False,
2018-01-19,21,21.742192480295955,False,False,
2018-01-20,17,19.403685930864487,False,False,
2018-01-21,24,18.964886502848174,False,False,
2018-01-22,16,21.052329829531907,False,False,
2018-01-23,30,21.45230343471541,False,False,
2018-01-24,22,21.220224141491126,False,False,
2018-01-25,15,20.987694911941688,False,False,
2018-01-26,28,21.593324523332914,False,False,
2018-01-27,22,19.265005497769483,False,False,
2018-01-28,17,18.82367461284072,False,False,
2018-01-29,25,20.88931216146045,False,False,
2018-01-30,21,21.27983725107964,False,False,
2018-01-31,25,21.043372353884788,False,False,
2018-02-01,27,20.806630168110313,False,False,
2018-02-02,20,21.400740665908103,False,False,
2018-02-03,20,19.087603136221876,False,False,
2018-02-04,18,18.6449120100229,False,False,
2018-02-05,18,20.68494987905567,False,False,
2018-02-06,7,21.065598023705558,False,False,
2018-02-07,26,20.825563874785594,False,False,
2018-02-08,14,20.585429045496102,False,False,
2018-02-09,25,21.167255833983326,False,False,
2018-02-10,20,18.87407125127689,False,False,
2018-02-11,19,18.431210399766705,False,False,
2018-02-12,21,20.442228085062794,False,False,
2018-02-13,25,20.81271453179161,False,False,
2018-02-14,20,20.569979046717517,False,False,
2018-02-15,25,20.327320892905124,False,False,
2018-02-16,20,20.896278185489376,False,False,
2018-02-17,13,18.62752630390276,False,False,
2018-02-18,19,18.18568830426151,False,False,
2018-02-19,22,20.164688348924905,False,False,
2018-02-20,31,20.524876185969156,False,False,
2018-02-21,21,20.28034628637822,False,False,
2018-02-22,19,20.036070555014643,False,False,
2018-02-23,19,20.591759909209003,False,False,
2018-02-24,8,18.351563815737716,False,False,
2018-02-25,23,17.911926032595314,False,False,
2018-02-26,19,19.85637756293084,False,False,
2018-02-27,20,20.20627974414446,False,False,
2018-02-28,15,19.960888231970515,False,False,
2018-03-01,18,19.715923988531706,False,False,
2018-03-02,22,20.25814012965424,False,False,
2018-03-03,16,18.050206422106662,False,False,
2018-03-04,18,17.6139139492959,False,False,
2018-03-05,22,19.521789464499257,False,False,
2018-03-06,12,19.86156866355548,False,False,
2018-03-07,28,19.616260716716315,False,False,
2018-03-08,18,19.371546894276186,False,False,
2018-03-09,19,19.900280742755207,False,False,
2018-03-10,26,17.727845723806926,False,False,
2018-03-11,13,17.295994788789454,False,False,
2018-03-12,12,19.165799669599302,False,False,
2018-03-13,11,19.495765965471325,False,False,
2018-03-14,24,19.251485450517087,False,False,
2018-03-15,24,19.007957252151094,False,False,
2018-03-16,13,19.523396109805176,False,False,
2018-03-17,19,17.389178778207263,False,False,
2018-03-18,14,16.962800849688087,False,False,
2018-03-19,22,18.793595156535734,False,False,
2018-03-20,17,19.114201583176524,False,False,
2018-03-21,17,18.871877383109016,False,False,
2018-03-22,24,18.63045273452753,False,False,
2018-03-23,19,19.132977626328938,False,False,
2018-03-24,15,17.03914014808885,False,False,
2018-03-25,15,16.619186977216373,False,False,
2018-03-26,25,18.41059921997516,False,False,
2018-03-27,28,18.722435244063167,False,False,
2018-03-28,20,18.482967799371515,False,False,
2018-03-29,15,18.24453404803029,False,False,
2018-03-30,21,18.734714257062496,False,False,
2018-03-31,10,16.682830491259317,False,False,
2018-04-01,8,16.270160303349538,False,False,
2018-04-02,17,18.022392980988716,False,False,
